Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
SR Tendulkar (IND),1989-2012,463,452,41,18426,200,44.83,21368,86.23,49,96,20
KC Sangakkara (Asia/ICC/SL),2000-2015,404,380,41,14234,169,41.98,18048,78.86,25,93,15
V Kohli (IND),2008-2024,295,283,44,13906,183,58.18,14866,93.54,50,72,16
RT Ponting (AUS/ICC),1995-2012,375,365,39,13704,164,42.03,17046,80.39,30,82,20
ST Jayasuriya (Asia/SL),1989-2011,445,433,18,13430,189,32.36,14725,91.2,28,68,34
DPMD Jayawardene (Asia/SL),1998-2015,448,418,39,12650,144,33.37,16020,78.96,19,77,28
Inzamam-ul-Haq (Asia/PAK),1991-2007,378,350,53,11739,137,39.52,15812,74.24,10,83,20
JH Kallis (Afr/ICC/SA),1996-2014,328,314,53,11579,139,44.36,15885,72.89,17,86,17
SC Ganguly (Asia/IND),1992-2007,311,300,23,11363,183,41.02,15416,73.7,22,72,16
R Dravid (Asia/ICC/IND),1996-2011,344,318,40,10889,153,39.16,15285,71.23,12,83,13
